"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID"
"CHEMBL3343381";"";"0";"678.69";"2";"7.59";"49";"COc1cc2c(Oc3ccc(NC(=O)c4nnn(c4C)c5ccccc5C(F)(F)F)cc3F)ccnc2cc1OCCCN6CCCCC6";"IC50";"'='";"4.35";"nM";"8.36";"";"";"UO_0000065";"12.32";"0.23";"0.77";"8.07";"False";"CHEMBL3381417";"Inhibition of c-Met (unknown origin) using poly (Glu, Tyr) 4:1 substrate incubated for 30 mins by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352351";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2014";""
"CHEMBL2111784";"";"0";"472.63";"1";"6.99";"37";"C[C@H](Nc1cc(ccn1)c2sc(nc2c3ccc(F)cc3)C4CCN(C)CC4)c5ccccc5";"IC50";"'>'";"10000";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL713585";"Inhibition of human Met proto-oncogene tyrosine kinase";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147483";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2004";""
"CHEMBL3335786";"";"0";"580.65";"2";"2.25";"20c";"O=C1C=CC(=NN1C[C@@H]2CN(CCO2)c3ncc(cn3)c4ccc(OCCN5CCOCC5)nc4)c6cccc(c6)C#N";"IC50";"'='";"35";"nM";"7.46";"";"";"UO_0000065";"12.84";"0.24";"5.21";"5.67";"False";"CHEMBL3389844";"Inhibition of c-Met (unknown origin) by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351326";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2014";""
"CHEMBL3334513";"";"0";"551.03";"1";"3.19";"13d";"Fc1ccc(cc1Cl)C2=NN(C[C@@H]3CN(CCO3)c4ncc(cn4)c5cnn(c5)C6CCNCC6)C(=O)C=C2";"IC50";"'='";"11";"nM";"7.96";"";"";"UO_0000065";"14.44";"0.28";"4.77";"7.73";"False";"CHEMBL3389844";"Inhibition of c-Met (unknown origin) by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351326";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2014";""
"CHEMBL522155";"";"0";"363.78";"0";"4.54";"1u";"Nc1cc(ccn1)c2[nH]c3ccc(nc3c2c4ccc(F)c(Cl)c4)C#N";"IC50";"'='";"130";"nM";"6.89";"";"";"UO_0000065";"18.93";"0.36";"2.35";"7.54";"True";"CHEMBL1030748";"Inhibition of GST-tagged human c-Met expressed in SF9 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"";"";"Sf9";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153352";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"CHEMBL3308860"
"CHEMBL246284";"";"0";"487.54";"0";"3.52";"1a";"Fc1cccc(Cn2ncc3cc(Nc4ncnn5ccc(COC[C@@H]6CNCCO6)c45)ccc23)c1";"IC50";"'='";"6500";"nM";"5.19";"";"";"UO_0000065";"10.64";"0.2";"1.67";"5.73";"True";"CHEMBL923215";"Inhibition of Met";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140690";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";""
"CHEMBL493511";"";"0";"348.77";"0";"4.96";"1j";"Fc1cc(Cl)cc(c1)c2c([nH]c3ccc(nc23)C#N)c4ccncc4";"IC50";"'='";"340";"nM";"6.47";"";"";"UO_0000065";"18.55";"0.35";"1.51";"9.9";"True";"CHEMBL1030748";"Inhibition of GST-tagged human c-Met expressed in SF9 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"";"";"Sf9";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153352";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"CHEMBL3308860"
"CHEMBL3810244";"";"0";"276.3";"0";"-0.78";"5h";"CC(C)C(=O)N1CCN(CC1)c2nnc3nncn3n2";"IC50";"'='";"23700";"nM";"4.62";"";"";"UO_0000065";"16.74";"0.32";"5.41";"5.01";"False";"CHEMBL3812838";"Inhibition of cMET (unknown origin) using TK substrate-biotin as substrate preincubated with compound followed by substrate addition for 40 mins measured after 1 hr by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3808385";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2016";""
"CHEMBL1796175";"";"0";"306.37";"0";"3.02";"4a";"Cc1ccc(CCNC(=O)C(=O)c2c[nH]c3ccccc23)cc1";"IC50";"'>'";"100000";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1798372";"Inhibition of c-MET assessed as incorporation of p33 using [gammaP33]-ATP by microplate scintillation counting";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1795330";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2011";""
"CHEMBL1796182";"";"0";"341.75";"0";"2.47";"7f";"Clc1ccc(cc1)C(=O)NNC(=O)C(=O)c2c[nH]c3ccccc23";"IC50";"'='";"48000";"nM";"4.32";"";"";"UO_0000065";"12.64";"0.25";"1.85";"4.74";"False";"CHEMBL1798372";"Inhibition of c-MET assessed as incorporation of p33 using [gammaP33]-ATP by microplate scintillation counting";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1795330";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2011";""
"CHEMBL1796186";"";"0";"389.37";"0";"2.17";"7j";"Cc1onc(n1)c2ccc(cc2)C(=O)NNC(=O)C(=O)c3c[nH]c4ccccc34";"IC50";"'='";"95000";"nM";"4.02";"";"";"UO_0000065";"10.33";"0.19";"1.85";"3.09";"False";"CHEMBL1798372";"Inhibition of c-MET assessed as incorporation of p33 using [gammaP33]-ATP by microplate scintillation counting";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1795330";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2011";""
"CHEMBL3823086";"";"0";"313.35";"0";"2.78";"18";"COc1cc(\C=C\C(=O)OCCc2ccc(N)cc2)ccc1O";"IC50";"'='";"5200";"nM";"5.28";"";"";"UO_0000065";"16.86";"0.31";"2.5";"6.46";"False";"CHEMBL3825518";"Inhibition of recombinant human N-terminal His-tagged cytoplasmic c-MET kinase domain (956 to 1390 residues) phosphorylation expressed in baculovirus expression system using Tyr peptide-6 substrate incubated for 1 hr in presence of ATP by Z-Lyte assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3822450";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2016";""
"CHEMBL3822690";"";"0";"388.42";"0";"3.23";"27";"COc1ccc(CCOC(=O)\C=C/c2cc(OC)c(O)c(OC)c2)cc1OC";"IC50";"'>'";"20000";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3825518";"Inhibition of recombinant human N-terminal His-tagged cytoplasmic c-MET kinase domain (956 to 1390 residues) phosphorylation expressed in baculovirus expression system using Tyr peptide-6 substrate incubated for 1 hr in presence of ATP by Z-Lyte assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3822450";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2016";""
"CHEMBL3764279";"";"0";"627.72";"2";"7.02";"23n";"COc1cc2c(Oc3ccc(NC(=O)N\N=C\c4cccc(CC=C)c4O)cc3F)ccnc2cc1OCCCN5CCCCC5";"IC50";"'='";"1.54";"nM";"8.81";"";"";"UO_0000065";"14.04";"0.26";"1.79";"7.5";"False";"CHEMBL3768350";"Inhibition of c-Met kinase (unknown origin) using poly(glu,Tyr)4:1 as substrate incubated for 30 mins by homogeneous time-resolved fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3763046";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2016";""
"CHEMBL3263961";"";"0";"647.73";"2";"5.48";"7";"COc1cc2c(Oc3ccc(NS(=O)(=O)c4cccc(c4)c5cnn(C)c5)cc3F)ccnc2cc1OCCCN6CCOCC6";"IC50";"'='";"1719";"nM";"5.76";"";"";"UO_0000065";"8.9";"0.17";"0.28";"4.93";"False";"CHEMBL3266281";"Inhibition of recombinant c-MET (unknown origin) using poly-AEKY peptide as substrate after 60 mins by ADPGlo assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3259680";"1";"Scientific Literature";"ACS Med. Chem. Lett.";"2014";""
"CHEMBL412278";"";"0";"433.46";"0";"3.97";"24";"COCCNC(=O)c1cccc2cc(Oc3ncnc4cc(OC)c(OC)cc34)ccc12";"IC50";"'='";"20000";"nM";"4.7";"";"";"UO_0000065";"10.84";"0.2";"0.73";"5.12";"False";"CHEMBL951282";"Inhibition of c-Met";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144684";"1";"Scientific Literature";"J. Med. Chem.";"2008";""
"CHEMBL270755";"";"0";"428.49";"1";"5.34";"13";"COc1cc2nccc(Oc3ccc4c(cccc4c3)C(=O)NCC5CC5)c2cc1OC";"IC50";"'='";"5300";"nM";"5.28";"";"";"UO_0000065";"12.31";"0.23";"-0.06";"7.57";"False";"CHEMBL951282";"Inhibition of c-Met";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144684";"1";"Scientific Literature";"J. Med. Chem.";"2008";""
"CHEMBL601719";"CRIZOTINIB";"4";"450.35";"1";"5.04";"14, PF-2341066";"C[C@@H](Oc1cc(cnc1N)c2cnn(c2)C3CCNCC3)c4c(Cl)ccc(F)c4Cl";"IC50";"'='";"8";"nM";"8.1";"";"";"UO_0000065";"17.98";"0.37";"3.06";"10.38";"True";"CHEMBL976902";"Inhibition of c-Met";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149823";"1";"Scientific Literature";"Proc. Natl. Acad. Sci. U.S.A.";"2007";""
"CHEMBL2431836";"";"0";"332.41";"0";"3.64";"28C";"CC(C)Nc1ccc2nnc([C@@H](C)c3ccc4ncccc4c3)n2n1";"IC50";"'='";"23";"nM";"7.64";"";"";"UO_0000065";"22.98";"0.42";"4";"11.23";"False";"CHEMBL2433360";"Inhibition of c-Met autophosphorylation in human A549 cells after 1 hr by ELISA";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"";"";"A549";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2429765";"1";"Scientific Literature";"J. Med. Chem.";"2013";"CHEMBL3307651"
"CHEMBL2431837";"";"0";"330.36";"0";"1.99";"8E";"Cn1cc(cn1)c2ccc3nnc(Cc4c[nH]c5ncccc45)n3n2";"IC50";"'='";"209";"nM";"6.68";"";"";"UO_0000065";"20.22";"0.36";"4.69";"7.46";"False";"CHEMBL2433360";"Inhibition of c-Met autophosphorylation in human A549 cells after 1 hr by ELISA";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"";"";"A549";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2429765";"1";"Scientific Literature";"J. Med. Chem.";"2013";"CHEMBL3307651"
"CHEMBL2442120";"";"0";"537.46";"2";"6.16";"36i";"CC(Sc1cc(cnc1N)c2ccc(C(=O)N3CCN(C)CC3)c(F)c2)c4c(Cl)ccc(F)c4Cl";"IC50";"'='";"64.9";"nM";"7.19";"";"";"UO_0000065";"13.37";"0.28";"1.03";"11.51";"False";"CHEMBL2447158";"Inhibition of c-Met (unknown origin) using poly (Glu, Tyr) 4:1 as substrate after 60 mins by ELISA";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2440064";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2013";""
"CHEMBL2420911";"";"0";"272.36";"0";"1.32";"14";"C1CNCC2(C1)CCN(CC2)c3ncnc4[nH]cnc34";"IC50";"'='";"183000";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL2424112";"Inhibition of MET (unknown origin) by microfluidic mobility shift assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2417369";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2013";""
"CHEMBL2420909";"";"0";"272.36";"0";"1.47";"12";"C1CCC2(CCN(CC2)c3ncnc4[nH]cnc34)NC1";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL2424112";"Inhibition of MET (unknown origin) by microfluidic mobility shift assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2417369";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2013";""
"CHEMBL3335767";"";"0";"560.63";"2";"2.24";"14b";"OCCN1CCC(CC1)n2cc(cn2)c3cnc(nc3)N4CCO[C@H](CN5N=C(C=CC5=O)c6ccc(F)cc6)C4";"IC50";"'='";"20";"nM";"7.7";"";"";"UO_0000065";"13.73";"0.26";"5.46";"6.73";"False";"CHEMBL3389844";"Inhibition of c-Met (unknown origin) by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351326";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2014";""
"CHEMBL3394476";"";"0";"447.45";"0";"4.45";"28h";"Nc1n[nH]c2cccc(c3ccc(NC(=O)C4(CC4)C(=O)Nc5ccc(F)cc5)c(F)c3)c12";"IC50";"'='";"5.1";"nM";"8.29";"";"";"UO_0000065";"18.53";"0.34";"3.84";"7.34";"False";"CHEMBL3396121";"Inhibition of purified recombinant c-MET (unknown origin) using poly (Glu, Tyr) substrate after 60 mins by ELISA";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3392979";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2015";""
"CHEMBL1088539";"";"0";"499.42";"0";"4.83";"6";"CNC(=O)c1cc(Oc2ccc(NC(=O)c3cnn(c4ccccc4)c3C(F)(F)F)cc2F)ccn1";"IC50";"'>'";"15000";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1103915";"Inhibition of c-Met";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157925";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";""
"CHEMBL1098157";"";"0";"516.48";"2";"5.63";"11";"Cn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=O)c5cnn(C)c5C(F)(F)F)cc4F)c3s2";"IC50";"'='";"60";"nM";"7.22";"";"";"UO_0000065";"13.98";"0.27";"1.59";"8.31";"False";"CHEMBL1103915";"Inhibition of c-Met";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157925";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";""
"CHEMBL1922407";"";"0";"426.48";"0";"2.34";"20";"O=C1NC=Cc2c(Cc3nnc4ccc(nn34)c5cnn(c5)C6CCNCC6)cccc12";"IC50";"'='";"27";"nM";"7.57";"";"";"UO_0000065";"17.75";"0.32";"5.23";"7.15";"False";"CHEMBL1925561";"Inhibition of recombinant c-met by HTRF assay";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1921685";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2011";""
"CHEMBL1922417";"";"0";"398.38";"0";"3.13";"30";"[O-][N+](=O)c1cccc(c1)c2ccc3nnc(Cc4cccc5C(=O)NC=Cc45)n3n2";"IC50";"'='";"4";"nM";"8.4";"";"";"UO_0000065";"21.08";"0.38";"5.27";"7.05";"False";"CHEMBL1925561";"Inhibition of recombinant c-met by HTRF assay";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1921685";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2011";""
"CHEMBL538932";"";"0";"258.3";"0";"2.4";"Table S1, 134";"O=S(=O)(c1ccccc1)c2c[nH]c3ncccc23";"IC50";"'='";"1175";"nM";"5.93";"";"";"UO_0000065";"22.96";"0.45";"3.53";"9.44";"False";"CHEMBL1826790";"Inhibition of human c-MET";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1821609";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2011";""
"CHEMBL253222";"";"0";"464.5";"0";"3.95";"Table S3, 42";"CN(C)CCCOc1cn2ncnc(Oc3ccc(NC(=O)c4cccnc4)cc3F)c2c1C";"IC50";"'='";"70";"nM";"7.16";"";"";"UO_0000065";"15.4";"0.29";"3.2";"7.62";"False";"CHEMBL1826790";"Inhibition of human c-MET";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1821609";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2011";""
"CHEMBL1172705";"";"0";"341.8";"0";"3.33";"20";"Cl.CNc1ncc(cc1c2oc3ccccc3n2)c4cnn(C)c4";"IC50";"'>'";"10000";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1175153";"Inhibition of recombinant c-MET by HTRF assay";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1177783";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";""
"CHEMBL2385182";"";"0";"711.7";"2";"6.51";"48";"COc1cc2c(Oc3ccc(NC(=O)C4=NN(c5ccccc5F)c6cc(F)ccc6C4=O)cc3F)ccnc2cc1OCCCN7CCOCC7";"IC50";"'='";"27.49";"nM";"7.56";"";"";"UO_0000065";"10.62";"0.2";"1.05";"6.46";"False";"CHEMBL2390327";"Inhibition of c-Met (unknown origin) using poly (Glu, Tyr) 4:1 as substrate after 30 mins by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2385045";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2013";""
"CHEMBL494793";"";"0";"401.4";"0";"4.07";"Table S2, 22";"COc1ccc2c(OCc3nnc4ccc(nn34)c5cccc(F)c5)ccnc2c1";"IC50";"'='";"7";"nM";"8.15";"";"";"UO_0000065";"20.32";"0.37";"4.08";"10.96";"False";"CHEMBL1826790";"Inhibition of human c-MET";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1821609";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2011";""
"CHEMBL2385205";"";"0";"708.19";"2";"8.03";"21";"COc1cc2c(Oc3ccc(NC(=O)C4=NN(c5ccc(Cl)cc5)c6ccccc6C4=O)cc3F)ccnc2cc1OCCCN7CCCCC7";"IC50";"'='";"2.72";"nM";"8.56";"";"";"UO_0000065";"12.09";"0.23";"0.54";"7.94";"False";"CHEMBL2390327";"Inhibition of c-Met (unknown origin) using poly (Glu, Tyr) 4:1 as substrate after 30 mins by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2385045";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2013";""
"CHEMBL2385175";"";"0";"710.16";"2";"6.88";"41";"COc1cc2c(Oc3ccc(NC(=O)C4=NN(c5ccccc5Cl)c6ccccc6C4=O)cc3F)ccnc2cc1OCCCN7CCOCC7";"IC50";"'='";"1.05";"nM";"8.98";"";"";"UO_0000065";"12.64";"0.24";"2.1";"7.67";"False";"CHEMBL2390327";"Inhibition of c-Met (unknown origin) using poly (Glu, Tyr) 4:1 as substrate after 30 mins by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2385045";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2013";""
"CHEMBL2419670";"";"0";"639.65";"2";"7.6";"29";"COc1cc2c(Oc3ccc(NC(=O)N\N=C\c4ccccc4C(F)(F)F)cc3F)ccnc2cc1OCCCN5CCCCC5";"IC50";"'='";"43";"nM";"7.37";"";"";"UO_0000065";"11.52";"0.22";"-0.23";"7.57";"False";"CHEMBL2421441";"Inhibition of c-MET (unknown origin) using poly(Glu,Tyr) as substrate after 30 mins by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2417367";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2013";""
"CHEMBL2419669";"";"0";"621.66";"2";"7.11";"28";"COc1cc2c(Oc3ccc(NC(=O)N\N=C\c4ccc(F)cc4F)cc3F)ccnc2cc1OCCCN5CCC(C)CC5";"IC50";"'='";"1.4";"nM";"8.85";"";"";"UO_0000065";"14.24";"0.27";"1.74";"9.1";"False";"CHEMBL2421441";"Inhibition of c-MET (unknown origin) using poly(Glu,Tyr) as substrate after 30 mins by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2417367";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2013";""
"CHEMBL2419667";"";"0";"607.63";"2";"6.86";"26";"COc1cc2c(Oc3ccc(NC(=O)N\N=C\c4ccc(F)cc4F)cc3F)ccnc2cc1OCCCN5CCCCC5";"IC50";"'='";"4.4";"nM";"8.36";"";"";"UO_0000065";"13.75";"0.26";"1.5";"8.59";"False";"CHEMBL2421441";"Inhibition of c-MET (unknown origin) using poly(Glu,Tyr) as substrate after 30 mins by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2417367";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2013";""
"CHEMBL489326";"EXELIXIS";"0";"519.5";"2";"5.68";"2, XL-184";"COc1cc2nccc(Oc3ccc(NC(=O)C4(CC4)C(=O)Nc5ccc(F)cc5)cc3F)c2cc1OC";"IC50";"'='";"21";"nM";"7.68";"";"";"UO_0000065";"14.78";"0.28";"2";"7.77";"False";"CHEMBL2395927";"Inhibition of c-Met (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2390843";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2013";""
"CHEMBL2385192";"";"0";"701.8";"2";"7.94";"30";"COc1cc2c(Oc3ccc(NC(=O)C4=NN(c5ccc(C)cc5)c6ccccc6C4=O)cc3F)ccnc2cc1OCCCN7CCC(C)CC7";"IC50";"'='";"18.4";"nM";"7.74";"";"";"UO_0000065";"11.02";"0.2";"-0.2";"7.17";"False";"CHEMBL2390327";"Inhibition of c-Met (unknown origin) using poly (Glu, Tyr) 4:1 as substrate after 30 mins by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2385045";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2013";""
"CHEMBL2385196";"";"0";"727.72";"2";"8.01";"34";"COc1cc2c(Oc3ccc(NC(=O)C4=NN(c5cccc(c5)C(F)(F)F)c6ccccc6C4=O)cc3F)ccnc2cc1OCCCN7CCCC7";"IC50";"'='";"11.9";"nM";"7.92";"";"";"UO_0000065";"10.89";"0.2";"-0.09";"7.35";"False";"CHEMBL2390327";"Inhibition of c-Met (unknown origin) using poly (Glu, Tyr) 4:1 as substrate after 30 mins by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2385045";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2013";""
